id,title,vote_average,vote_count,runtime,budget,revenue,genres,release_year,release_month,label_popular_top25,label_high_rating
1213898,Border 2,7.7,5,199,33000000.0,21000000.0,Action|Drama|War,2026,1,0,1
1087192,How to Train Your Dragon,7.952,2530,125,150000000.0,636351148.0,Fantasy|Family|Action|Adventure,2025,6,0,1
1215106,Ko Ga Loak Village,3.8,5,99,0.0,0.0,Comedy|Horror,2025,11,0,0
1261442,American Methods,1.0,1,60,0.0,0.0,Drama,1917,4,0,0
1359607,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,7.6,10,105,0.0,1067775.0,Animation|Comedy|Fantasy,2025,6,0,1
772462,Don't Follow Me,6.474,38,83,0.0,1015383.0,Horror|Mystery,2025,10,0,0
812583,Wake Up Dead Man: A Knives Out Mystery,7.2,1924,145,210000000.0,4000000.0,Thriller|Mystery|Comedy,2025,11,0,1
1313003,Close To Me,5.681,47,103,5000000.0,490149.0,Romance|Thriller,2025,3,0,0
967941,Wicked: For Good,6.7,771,137,150000000.0,524676531.0,Fantasy|Adventure|Romance,2025,11,0,0
1241742,EKS,3.2,5,119,0.0,0.0,Drama,2024,3,0,0
155,The Dark Knight,8.525,35082,152,185000000.0,1004558444.0,Action|Crime|Thriller,2008,7,0,1
1297953,My Friend Eva,6.857,7,100,0.0,0.0,Romance|Comedy,2025,9,0,0
238,The Godfather,8.687,22374,175,6000000.0,245066411.0,Drama|Crime,1972,3,0,1
1419826,The World Will Tremble,6.717,30,109,0.0,0.0,Drama|War|History,2025,3,0,0
299536,Avengers: Infinity War,8.234,31399,149,300000000.0,2052415039.0,Adventure|Action|Science Fiction,2018,4,0,1
541671,Ballerina,7.285,2262,125,90000000.0,137216585.0,Action|Thriller|Crime,2025,6,0,1
1403735,Laila,5.2,6,134,0.0,0.0,Comedy|Romance,2025,2,0,0
1214931,Nuremberg,7.363,478,148,11800000.0,37009109.0,History|Drama,2025,11,0,1
1116465,A Legend,6.777,141,129,0.0,11242056.0,Action|Adventure|Fantasy,2024,7,0,0
213855,Jamai Raja,6.0,5,166,0.0,0.0,Drama|Comedy,1990,10,0,0
597,Titanic,7.902,26712,194,200000000.0,2264162353.0,Drama|Romance,1997,12,0,1
120,The Lord of the Rings: The Fellowship of the Ring,8.427,26913,179,93000000.0,871368364.0,Adventure|Fantasy|Action,2001,12,0,1
278,The Shawshank Redemption,8.715,29619,142,25000000.0,28341469.0,Drama|Crime,1994,9,0,1
1327881,Voice of Shadows,4.6,13,90,0.0,0.0,Horror|Mystery|Thriller,2024,9,0,0
1205229,Night of the Zoopocalypse,6.596,73,92,12000000.0,5598939.0,Animation|Comedy|Horror|Adventure|Science Fiction,2025,1,0,0
1363123,The Family Plan 2,6.54,474,106,0.0,0.0,Action|Comedy,2025,11,0,0
569094,Spider-Man: Across the Spider-Verse,8.334,8203,140,100000000.0,690897910.0,Animation|Action|Adventure|Science Fiction,2023,5,0,1
1151272,Sirāt,6.811,386,115,7000000.0,9405413.0,Drama|Thriller|Music,2025,6,0,0
79871,Crazy Love,6.3,41,77,0.0,1575158.0,Comedy|Romance|Drama,1993,4,0,0
1124566,Sentimental Value,7.6,410,133,7800000.0,20000000.0,Drama,2025,8,0,1
1090983,The Beldham,5.667,30,85,0.0,0.0,Horror,2025,11,0,0
17339,Force 10 from Navarone,6.199,331,114,5000000.0,7230000.0,Drama|Adventure|War,1978,8,0,0
1197306,A Working Man,6.688,1762,116,40000000.0,88200711.0,Action|Crime|Thriller,2025,3,0,0
533535,Deadpool & Wolverine,7.559,8206,128,200000000.0,1338073645.0,Action|Comedy|Science Fiction,2024,7,0,1
27205,Inception,8.37,38584,148,160000000.0,839030630.0,Action|Science Fiction|Adventure,2010,7,0,1
144613,Beau Brummel,6.8,13,127,343000.0,495000.0,Drama,1924,3,0,0
1290821,Shelter,7.5,2,107,0.0,0.0,Action|Crime|Thriller,2026,1,0,1
237439,SPEC: Zero,7.905,21,138,0.0,0.0,TV Movie|Drama|Comedy|Mystery|Fantasy,2013,10,0,1
1154725,Robot T-O,5.4,23,78,0.0,0.0,Comedy|Drama|Science Fiction,2025,4,0,0
1408208,Exit 8,6.274,126,95,0.0,39003150.0,Horror|Mystery|Thriller,2025,8,0,0
1432046,남친깨기전에빨리빼!,0.0,0,0,0.0,0.0,Unknown,2021,3,0,0
1471345,Homo Argentum,5.602,54,98,0.0,16870.0,Comedy,2025,8,0,0
114155,Effie Gray,5.9,191,104,0.0,721143.0,Drama,2014,3,0,0
1180831,Troll 2,6.527,386,102,11200000.0,0.0,Action|Fantasy|Thriller,2025,11,0,0
950396,The Gorge,7.64,3380,128,70000000.0,0.0,Romance|Science Fiction|Thriller,2025,2,0,1
1309012,Altered,5.953,85,85,15000000.0,346774.0,Science Fiction|Action,2025,9,0,0
1197137,Black Phone 2,6.781,871,114,30000000.0,132235319.0,Horror|Thriller,2025,10,0,0
1291608,Dhurandhar,6.8,158,212,22500000.0,160000000.0,Action|Thriller,2025,12,0,0
497,The Green Mile,8.504,18777,189,60000000.0,286801374.0,Fantasy|Drama|Crime,1999,12,0,1
502356,The Super Mario Bros. Movie,7.597,10227,93,100000000.0,1362000000.0,Family|Comedy|Adventure|Animation|Fantasy,2023,4,0,1
11215,Baby Boom,6.391,394,110,15000000.0,26712476.0,Drama|Comedy|Romance,1987,10,0,0
1523145,Your Heart Will Be Broken,0.0,0,0,0.0,0.0,Romance,2026,3,0,0
1422096,Good Boy,6.7,492,73,70000.0,8781040.0,Horror,2025,10,0,0
1181765,School of Magical Animals 3,6.2,23,100,0.0,25000869.0,Family|Fantasy|Comedy,2024,9,0,0
634649,Spider-Man: No Way Home,7.933,21497,148,200000000.0,1921847111.0,Action|Adventure|Science Fiction,2021,12,0,1
1248226,Playdate,6.0,480,93,0.0,0.0,Action|Comedy|Family,2025,11,0,0
27372,There Was a Father,6.968,79,93,0.0,0.0,Drama,1942,4,0,0
1038392,The Conjuring: Last Rites,6.9,1612,136,55000000.0,494656445.0,Horror,2025,9,0,0
603,The Matrix,8.237,27300,136,63000000.0,463517383.0,Action|Science Fiction,1999,3,0,1
122,The Lord of the Rings: The Return of the King,8.492,25940,201,94000000.0,1118888979.0,Adventure|Fantasy|Action,2003,12,0,1
496243,Parasite,8.495,20038,133,11363000.0,257591776.0,Comedy|Thriller|Drama,2019,5,0,1
1163055,What If?,6.2,4,112,0.0,0.0,Drama|Romance,2023,9,0,0
808,Shrek,7.754,18334,90,60000000.0,488628188.0,Animation|Comedy|Fantasy|Adventure|Family,2001,5,0,1
1367125,Gaua (The Night),6.083,12,96,0.0,0.0,Drama|Horror|Fantasy,2025,11,0,0
671,Harry Potter and the Philosopher's Stone,7.9,29084,152,125000000.0,976475550.0,Adventure|Fantasy,2001,11,0,1
1241983,Train Dreams,7.333,566,102,10000000.0,0.0,Drama,2025,11,0,1
1078605,Weapons,7.278,2807,129,38000000.0,269072492.0,Horror|Mystery,2025,8,0,1
1035259,The Naked Gun,6.444,1354,85,42000000.0,102147396.0,Action|Comedy|Crime,2025,7,0,0
1082900,Loveable,7.0,45,101,0.0,0.0,Drama|Romance,2024,9,0,1
75701,Four Riders,5.727,11,113,0.0,0.0,Action|Drama|Crime,1972,12,0,0
588,Silent Hill,6.6,4679,125,50000000.0,100605135.0,Horror|Mystery,2006,4,0,0
218093,Knickerbocker Holiday,5.0,4,85,0.0,0.0,Music|Comedy|History,1944,3,0,0
1194963,Noise,6.3,38,95,0.0,12199988.0,Horror|Thriller,2025,6,0,0
11973,Thirteen Days,6.999,805,145,80000000.0,34566746.0,History|Thriller,2000,12,0,0
38757,Tangled,7.611,12147,100,260000000.0,592461732.0,Animation|Family|Adventure,2010,11,0,1
1226863,The Super Mario Galaxy Movie,0.0,0,0,0.0,0.0,Family|Fantasy|Comedy|Adventure|Animation,2026,4,0,0
680,Pulp Fiction,8.486,29604,154,8000000.0,213928762.0,Thriller|Crime|Comedy,1994,9,0,1
129,Spirited Away,8.533,17884,125,19000000.0,274925095.0,Animation|Family|Fantasy,2001,7,0,1
872585,Oppenheimer,8.036,11269,181,100000000.0,952000000.0,Drama|History,2023,7,0,1
1354700,The Ghost Game,6.64,25,95,0.0,0.0,Horror|Mystery|Thriller,2025,8,0,0
1149167,High Rollers,6.6,101,101,0.0,0.0,Action|Crime|Thriller,2025,3,0,0
1589891,A Time for Bravery,7.595,74,107,0.0,0.0,Comedy|Action,2025,12,0,1
550,Fight Club,8.438,31335,139,63000000.0,100853753.0,Drama|Thriller,1999,10,0,1
1233506,The Shrinking Man,6.0,43,99,24350000.0,0.0,Adventure|Science Fiction,2025,10,0,0
1119878,Ice Road: Vengeance,6.252,565,113,0.0,0.0,Action|Thriller|Drama,2025,6,0,0
1302017,Uhaw,4.4,5,94,0.0,0.0,Drama,2024,9,0,0
1161617,Code 3,6.971,190,100,0.0,0.0,Comedy|Action,2025,9,0,0
482600,Japanese Mom,6.6,62,91,0.0,0.0,Romance|Drama,2017,2,0,0
950387,A Minecraft Movie,6.291,2732,101,150000000.0,958287780.0,Family|Fantasy|Comedy|Adventure,2025,3,0,0
1086260,The Astronaut,5.725,167,90,0.0,0.0,Science Fiction|Horror|Thriller,2025,9,0,0
198663,The Maze Runner,7.19,17823,113,34000000.0,348319861.0,Action|Mystery|Science Fiction|Thriller,2014,9,0,1
13852,The Castle,7.064,220,85,800000.0,861789.0,Drama|Comedy,1997,4,0,1
324857,Spider-Man: Into the Spider-Verse,8.393,16802,117,90000000.0,393602435.0,Animation|Action|Adventure|Science Fiction,2018,12,0,1
361743,Top Gun: Maverick,8.158,10534,131,170000000.0,1488732821.0,Action|Drama,2022,5,0,1
205596,The Imitation Game,7.988,17782,113,14000000.0,233555708.0,History|Drama|Thriller|War,2014,11,0,1
1033148,Die My Love,6.2,339,119,22000000.0,11745933.0,Drama,2025,10,0,0
392269,The Divide,6.7,12,78,0.0,0.0,Documentary,2015,11,0,0
862,Toy Story,7.971,19497,81,30000000.0,401157969.0,Family|Comedy|Animation|Adventure,1995,11,0,1
438631,Dune,7.776,14370,155,165000000.0,410668500.0,Science Fiction|Adventure,2021,9,0,1
674,Harry Potter and the Goblet of Fire,7.801,21790,157,150000000.0,895921036.0,Adventure|Fantasy,2005,11,0,1
402431,Wicked,6.9,2832,162,150000000.0,758737211.0,Drama|Romance|Fantasy,2024,10,0,0
122917,The Hobbit: The Battle of the Five Armies,7.33,15057,144,250000000.0,956019788.0,Action|Adventure|Fantasy,2014,12,0,1
1022789,Inside Out 2,7.545,6422,97,200000000.0,1698863816.0,Animation|Adventure|Comedy|Family,2024,6,0,1
338969,The Toxic Avenger Unrated,6.0,279,102,0.0,3328938.0,Action|Comedy|Science Fiction,2025,8,0,0
121,The Lord of the Rings: The Two Towers,8.412,23349,179,79000000.0,926287400.0,Adventure|Fantasy|Action,2002,12,0,1
557,Spider-Man,7.319,20232,121,139000000.0,821708551.0,Action|Science Fiction,2002,5,0,1
